,Predicted Class,Class 1 Prob,Class 2 Prob,UNIQUE_ID,Protected
1450,0.0,0.6030903839426753,0.39690961605732483,244984666,0
736,0.0,0.6029453502718789,0.3970546497281212,245161482,0
684,0.0,0.6028039037436391,0.3971960962563611,245159883,0
912,0.0,0.6027402277004331,0.3972597722995669,245247588,0
385,0.0,0.6026838427759484,0.3973161572240518,245245395,0
892,0.0,0.6026395837166972,0.39736041628330276,245130864,0
2152,0.0,0.6025205705185068,0.3974794294814933,245074697,0
613,0.0,0.6024853579130142,0.39751464208698606,122813298,0
1861,0.0,0.6024382495052127,0.3975617504947875,241427297,0
1406,0.0,0.6021239997735672,0.3978760002264329,245159960,0
2007,0.0,0.6018821659341183,0.3981178340658819,244954494,0
1230,0.0,0.6017996478739852,0.3982003521260149,245041899,0
1870,0.0,0.6016691673318793,0.3983308326681208,245044399,0
2150,0.0,0.6016251395596846,0.3983748604403158,245150432,0
608,0.0,0.6015619789192469,0.3984380210807532,244961057,0
1511,0.0,0.6015613961120824,0.3984386038879175,245085229,0
1024,0.0,0.6013513035289713,0.3986486964710291,245192475,0
620,0.0,0.6008187191656842,0.3991812808343159,245222781,0
1486,0.0,0.6008022055429063,0.39919779445709386,245167001,0
154,0.0,0.600625644279229,0.39937435572077107,245060967,0
1964,0.0,0.6004281748831246,0.39957182511687556,245109529,0
925,0.0,0.6001181910362967,0.39988180896370323,245016196,0
1267,0.0,0.5995976230249692,0.400402376975031,245240017,0
1434,0.0,0.5992069844980137,0.40079301550198637,245179804,0
1404,0.0,0.5984743932211536,0.40152560677884663,245226474,0
710,0.0,0.59839329882842,0.40160670117158026,245207949,0
715,0.0,0.5983495956553743,0.40165040434462584,235501020,0
802,0.0,0.598249323011169,0.40175067698883127,245196446,0
831,0.0,0.5981000269796567,0.4018999730203434,244954035,0
2134,0.0,0.5979678614201579,0.40203213857984216,245190294,0
1227,0.0,0.5979224334541319,0.40207756654586824,245252182,0
136,0.0,0.5978741487854721,0.4021258512145281,245073955,0
470,0.0,0.5978233741242693,0.40217662587573083,245125071,0
1187,0.0,0.5977529021431853,0.40224709785681484,244955263,0
186,0.0,0.5977340805531937,0.40226591944680673,245187705,0
1855,0.0,0.5975826378701028,0.40241736212989715,245177600,0
1699,0.0,0.5973557427890479,0.40264425721095215,245138831,0
2148,0.0,0.5971834310206833,0.40281656897931684,245064424,0
1174,0.0,0.5966368642987984,0.40336313570120164,241462525,0
1814,0.0,0.5965406927591657,0.40345930724083456,241220162,0
1541,0.0,0.5964150485103459,0.40358495148965434,245151535,0
351,0.0,0.5963620847809037,0.40363791521909625,245092816,0
817,0.0,0.5963434870369098,0.40365651296309046,244989845,0
1963,0.0,0.5960089699569963,0.4039910300430039,245093227,0
328,0.0,0.5960065416156048,0.4039934583843954,245096878,0
